abuses
shit
fuck
damn
bitch
crap
piss
dick
darn
cock
pussy
asshole
fag
bastard
slut
douche
bloody
cunt
bugger
bollocks
arsehole
fock
moron
wimp
cock
suck
nigger
death to 
ass
bellend
twat
wanker
tosser
minger
munter
scrubber
slag
piss
bitch
dumb
screw
filth
stupid
gay
jew
idiot
retard
coward 
wtf
queer
ugly
dummy
scum
redneck
shut up
racist
fat
nazi
jerk
hell
loser
sex
pig
dumb
homo
hitler
pervert 
penis
balls
